idCommune;nomCommune;annee;taux;nbMaison;nbAppart;prixM2Moyen;prixMoyen;surface;depCulturelleTotal;bugdet;population;listeVoisine;listeGare
22287;SAINT-DONAN;2018;0.0;12;0;1259.5;146605.0;116.667;-1.0;-1.0;-1;;
22287;SAINT-DONAN;2019;0.0;16;0;1257.88;144021.0;116.125;-1.0;-1.0;-1;;
22287;SAINT-DONAN;2020;0.0;16;0;1395.31;134126.0;99.3125;-1.0;-1.0;-1;;
22287;SAINT-DONAN;2021;0.0;21;0;1466.33;151561.0;104.19;-1.0;-1.0;-1;;
22288;SAINT-ETIENNE-DU-GUE-DE-L'ISLE;2018;0.0;4;0;634.0;47600.0;72.25;-1.0;-1.0;-1;;
22288;SAINT-ETIENNE-DU-GUE-DE-L'ISLE;2019;0.0;2;0;380.0;38500.0;101.0;-1.0;-1.0;-1;;
22288;SAINT-ETIENNE-DU-GUE-DE-L'ISLE;2020;0.0;2;0;1325.0;106405.0;80.5;-1.0;-1.0;-1;;
22288;SAINT-ETIENNE-DU-GUE-DE-L'ISLE;2021;0.0;11;0;1021.27;120986.0;114.909;-1.0;-1.0;-1;;
22289;SAINT-FIACRE;2018;0.0;2;0;1146.0;50000.0;42.5;-1.0;-1.0;-1;;
22289;SAINT-FIACRE;2019;0.0;3;0;947.333;69000.0;86.6667;-1.0;-1.0;-1;;
22289;SAINT-FIACRE;2020;0.0;1;0;1078.0;183200.0;170.0;-1.0;-1.0;-1;;
22289;SAINT-FIACRE;2021;0.0;2;0;1079.5;86000.0;75.5;-1.0;-1.0;-1;;
22291;SAINT-GILDAS;2018;0.0;1;0;885.0;69000.0;78.0;-1.0;-1.0;-1;;
22291;SAINT-GILDAS;2019;0.0;2;0;655.0;95420.0;146.0;-1.0;-1.0;-1;;
22291;SAINT-GILDAS;2020;0.0;4;0;1082.5;115748.0;105.75;-1.0;-1.0;-1;;
22291;SAINT-GILDAS;2021;0.0;3;0;1016.33;85833.3;90.6667;-1.0;-1.0;-1;;
22293;SAINT-GILLES-LES-BOIS;2018;0.0;6;0;1056.83;101950.0;94.1667;-1.0;-1.0;-1;;
22293;SAINT-GILLES-LES-BOIS;2019;0.0;7;0;1075.57;93271.4;88.0;-1.0;-1.0;-1;;
22293;SAINT-GILLES-LES-BOIS;2020;0.0;7;0;1098.86;110429.0;114.286;-1.0;-1.0;-1;;
22293;SAINT-GILLES-LES-BOIS;2021;0.0;7;0;1018.57;128921.0;125.571;-1.0;-1.0;-1;;
22294;SAINT-GILLES-PLIGEAUX;2018;0.0;6;0;663.167;56841.7;88.1667;-1.0;-1.0;-1;;
22294;SAINT-GILLES-PLIGEAUX;2019;0.0;3;0;774.667;75666.7;95.6667;-1.0;-1.0;-1;;
22294;SAINT-GILLES-PLIGEAUX;2020;0.0;4;0;1048.5;118814.0;95.5;-1.0;-1.0;-1;;
22294;SAINT-GILLES-PLIGEAUX;2021;0.0;16;0;750.875;54506.9;72.6875;-1.0;-1.0;-1;;
22295;SAINT-GILLES-VIEUX-MARCHE;2018;0.0;5;0;864.0;110027.0;132.6;-1.0;-1.0;-1;;
22295;SAINT-GILLES-VIEUX-MARCHE;2019;0.0;5;0;1000.2;83520.0;82.0;-1.0;-1.0;-1;;
22295;SAINT-GILLES-VIEUX-MARCHE;2020;0.0;10;0;768.1;81710.0;102.2;-1.0;-1.0;-1;;
22295;SAINT-GILLES-VIEUX-MARCHE;2021;0.0;12;0;936.083;84104.9;91.1667;-1.0;-1.0;-1;;
22296;SAINT-GLEN;2018;0.0;5;0;1316.8;128619.0;97.6;-1.0;-1.0;-1;;
22296;SAINT-GLEN;2019;0.0;11;0;1208.09;112032.0;95.3636;-1.0;-1.0;-1;;
22296;SAINT-GLEN;2020;0.0;9;1;1480.4;135431.0;102.2;-1.0;-1.0;-1;;
22296;SAINT-GLEN;2021;0.0;17;0;1129.53;102846.0;92.1176;-1.0;-1.0;-1;;
22299;SAINT-HELEN;2018;0.0;22;0;1584.18;173381.0;112.318;-1.0;-1.0;-1;;
22299;SAINT-HELEN;2019;0.0;23;0;1738.87;188778.0;109.609;-1.0;-1.0;-1;;
22299;SAINT-HELEN;2020;0.0;24;0;1662.96;169534.0;105.542;-1.0;-1.0;-1;;
22299;SAINT-HELEN;2021;0.0;24;0;2030.33;209702.0;108.042;-1.0;-1.0;-1;;
22300;SAINT-HERVE;2018;0.0;1;0;1315.0;93400.0;71.0;-1.0;-1.0;-1;;87473363 | 
22300;SAINT-HERVE;2019;0.0;3;0;2435.0;244167.0;91.6667;-1.0;-1.0;-1;;87473363 | 
22300;SAINT-HERVE;2020;0.0;5;0;1281.2;99400.0;87.2;-1.0;-1.0;-1;;87473363 | 
22300;SAINT-HERVE;2021;0.0;6;0;1547.0;101749.0;78.5;-1.0;-1.0;-1;;87473363 | 
22302;SAINT-JACUT-DE-LA-MER;2018;0.0;25;4;3364.03;248821.0;79.7931;-1.0;-1.0;-1;;
22302;SAINT-JACUT-DE-LA-MER;2019;0.0;29;3;3119.66;275443.0;93.75;-1.0;-1.0;-1;;
22302;SAINT-JACUT-DE-LA-MER;2020;0.0;25;2;3663.81;372580.0;100.222;-1.0;-1.0;-1;;
22302;SAINT-JACUT-DE-LA-MER;2021;0.0;27;2;4373.03;388362.0;99.1034;-1.0;-1.0;-1;;
22304;SAINT-JEAN-KERDANIEL;2018;0.0;4;0;1295.5;141925.0;109.75;-1.0;-1.0;-1;;
22304;SAINT-JEAN-KERDANIEL;2019;0.0;7;0;1333.57;137571.0;121.0;-1.0;-1.0;-1;;
22304;SAINT-JEAN-KERDANIEL;2020;0.0;7;0;2044.14;202514.0;93.7143;-1.0;-1.0;-1;;
22304;SAINT-JEAN-KERDANIEL;2021;0.0;6;0;1542.0;175167.0;112.0;-1.0;-1.0;-1;;
22305;SAINT-JOUAN-DE-L'ISLE;2018;0.0;5;0;1050.6;118974.0;119.2;-1.0;-1.0;-1;;
22305;SAINT-JOUAN-DE-L'ISLE;2019;0.0;6;0;847.0;91166.7;113.167;-1.0;-1.0;-1;;
22305;SAINT-JOUAN-DE-L'ISLE;2020;0.0;3;0;1550.67;197667.0;134.667;-1.0;-1.0;-1;;
22305;SAINT-JOUAN-DE-L'ISLE;2021;0.0;6;0;1403.33;144433.0;104.667;-1.0;-1.0;-1;;
22306;SAINT-JUDOCE;2018;0.0;4;0;1491.5;148550.0;100.5;-1.0;-1.0;-1;;
22306;SAINT-JUDOCE;2019;0.0;11;0;1301.64;135000.0;106.636;-1.0;-1.0;-1;;
22306;SAINT-JUDOCE;2020;0.0;8;0;1309.62;158812.0;118.5;-1.0;-1.0;-1;;
